MethodFamily_26_code	MethodFamily_26_label_cn	MethodFamily_9_code
01	调查研究（Survey）	901
02	统计与计量	901
03	实验/准实验/自然实验	902
04	社会网络分析	903
05	系统动力学与仿真	903
06	风险与决策分析	903
07	大数据与机器学习	903
08	GIS与空间分析	903
11	案例研究	904
12	历史与比较历史	904
13	过程溯源	904
14	民族志/参与观察	905
15	深度访谈/焦点小组	905
16	文本/内容/话语分析	906
17	政策分析与评价	907
18	法学—证据型	905
19	专家咨询/德尔菲	905
20	叙事/谱系	905
21	混合研究方法	908
22	跨学科集成方法	908
23	参与式与行动研究	908
31	文献研究（无编码）	909
32	理论/概念分析	909
33	政策解读/思政分析	909
34	法学—规范解释	909
35	模型/仿真构想（无参数/校准/验证）	909
