Family,Count
过程溯源,16
实验,8
政策分析与评价,6
统计与计量,6
文献研究,5
博弈与优化,5
政策解读/思政,4
法学—规范解释,4
文本/话语/框架分析,4
未识别,4
历史与比较,3
调查研究,2
仿真与系统,1
理论/概念分析,1
案例研究,1
机器学习/文本计量,1
风险与决策,1
叙事/谱系,1
