paper_id,E_EXP,E_EXP_evidence,E_STAT,E_STAT_evidence,E_SURVEY,E_SURVEY_evidence,E_CASE,E_CASE_evidence,E_ETHNO,E_ETHNO_evidence,E_TEXT,E_TEXT_evidence,E_MODEL,E_MODEL_evidence,E_POLICYEVAL,E_POLICYEVAL_evidence,E_MIXED,E_MIXED_evidence,E_NORM,E_NORM_evidence
76,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,原则
77,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
78,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
79,0,,0,,0,,1,案例,1,档案(研究)?,0,,0,,0,,0,,1,思想
80,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
81,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,规范性研究
82,0,,0,,0,,1,案例,0,,0,,0,,0,,1,跨学科,0,
83,0,,0,,1,调查,1,案例,0,,0,,0,,0,,0,,1,价值
84,1,介入,0,,0,,1,案例,0,,0,,0,,0,,0,,1,价值
85,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
86,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
87,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,价值
88,1,干预,0,,0,,1,案例,0,,0,,1,模型,0,,0,,0,
89,0,,0,,0,,1,案例,0,,1,文本分析,1,模型,0,,0,,0,
90,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
91,0,,0,,0,,1,案例,0,,0,,0,,0,,1,跨学科,1,规范性研究
92,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
93,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,原则
94,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
95,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,价值
96,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,1,原则
97,0,,0,,0,,1,案例,0,,0,,0,,1,指标体系,0,,1,规范性研究
98,1,介入,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
99,0,,0,,0,,1,案例,1,档案(研究)?,0,,0,,0,,0,,1,思想
100,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,规范性研究
101,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,原则
102,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,原则
103,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
104,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,思想
105,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
106,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,1,指标体系,0,,0,
107,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,0,
108,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
109,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,思想
110,0,,1,计量,0,,0,,0,,0,,0,,0,,0,,1,价值
111,1,干预,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
112,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
113,0,,0,,0,,0,,0,,0,,0,,1,指标体系,0,,1,原则
114,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
115,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
116,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
117,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
118,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
119,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,0,
120,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,思想
121,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
122,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,法治
123,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
124,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,思想
125,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
126,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
127,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
128,0,,0,,0,,0,,0,,0,,0,,1,绩效评估,0,,0,
129,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
130,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
131,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
132,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
133,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
134,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
135,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
136,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
137,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
138,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,价值
139,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
140,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
141,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,原则
142,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
143,0,,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,价值
144,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
145,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,价值
146,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,思想
147,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
148,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,1,思想
149,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,1,原则
150,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
151,0,,0,,1,调查,0,,0,,0,,0,,0,,0,,0,
